,0
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,2
35,2
36,1
37,1
38,1
39,1
40,2
41,2
42,2
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,1
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,1
98,1
99,1
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,1
109,1
110,1
111,2
112,2
113,2
114,2
115,2
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,0
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,2
148,2
149,2
150,2
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,2
159,2
160,2
161,1
162,2
163,2
164,2
165,2
166,2
167,2
168,2
169,2
170,2
171,2
172,1
173,1
174,2
175,2
176,2
177,2
178,2
179,2
180,1
181,1
182,1
183,2
184,2
185,2
186,2
187,2
188,1
189,1
190,0
191,2
192,2
193,2
194,2
195,2
196,2
197,2
198,2
199,1
200,1
201,0
202,2
203,2
204,2
205,2
206,2
207,2
208,2
209,2
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,2
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,2
231,2
232,2
233,2
234,2
235,2
236,2
237,2
238,2
239,2
240,2
241,2
242,2
243,2
244,2
245,2
246,2
247,1
248,2
249,2
250,2
251,2
252,2
253,2
254,2
255,2
256,2
257,2
258,1
259,1
260,2
261,2
262,2
263,2
264,2
265,1
266,0
267,2
268,2
269,2
270,2
271,2
272,1
273,1
274,0
275,2
276,2
277,2
278,2
279,2
280,2
281,0
282,0
283,2
284,2
285,2
286,2
287,2
288,2
289,2
290,1
291,0
292,0
293,0
294,2
295,2
296,2
297,2
298,2
299,2
300,2
301,2
302,2
303,2
304,2
305,1
306,0
307,1
308,1
309,1
310,1
311,2
312,2
313,2
314,2
315,2
316,1
317,1
318,1
319,1
320,1
321,1
322,4
323,2
324,2
325,2
326,2
327,2
328,2
329,2
330,2
331,2
332,2
333,2
334,2
335,2
336,2
337,2
338,2
339,2
340,2
341,2
342,2
343,2
344,2
345,2
346,1
347,2
348,2
349,2
350,2
351,2
352,1
353,0
354,2
355,2
356,2
357,2
358,2
359,2
360,2
361,2
362,1
363,0
364,0
365,2
366,2
367,2
368,2
369,2
370,2
371,2
372,2
373,0
374,0
375,2
376,2
377,2
378,2
379,2
380,2
381,2
382,2
383,2
384,2
385,0
386,0
387,0
388,2
389,2
390,2
391,2
392,2
393,2
394,2
395,2
396,2
397,2
398,2
399,2
400,0
401,0
402,0
403,2
404,2
405,2
406,2
407,2
408,2
409,2
410,2
411,2
412,2
413,2
414,2
415,0
416,0
417,1
418,1
419,1
420,2
421,2
422,2
423,1
424,1
425,1
426,4
427,4
428,2
429,2
430,2
431,2
432,2
433,2
434,2
435,2
436,2
437,2
438,2
439,2
440,2
441,2
442,2
443,2
444,2
445,2
446,2
447,2
448,2
449,2
450,2
451,2
452,2
453,2
454,1
455,2
456,2
457,2
458,2
459,2
460,2
461,2
462,2
463,2
464,2
465,0
466,2
467,2
468,2
469,2
470,2
471,2
472,2
473,2
474,2
475,2
476,2
477,0
478,0
479,2
480,2
481,2
482,2
483,2
484,2
485,2
486,2
487,2
488,2
489,2
490,2
491,2
492,2
493,0
494,0
495,2
496,2
497,2
498,2
499,2
500,2
501,2
502,2
503,2
504,2
505,2
506,2
507,2
508,2
509,0
510,0
511,2
512,2
513,2
514,2
515,2
516,2
517,2
518,2
519,2
520,2
521,2
522,2
523,2
524,2
525,0
526,0
527,0
528,2
529,2
530,2
531,2
532,2
533,2
534,2
535,2
536,2
537,2
538,2
539,2
540,0
541,0
542,0
543,0
544,2
545,2
546,2
547,2
548,2
549,2
550,0
551,1
552,1
553,2
554,2
555,2
556,4
557,2
558,2
559,2
560,2
561,2
562,2
563,2
564,2
565,2
566,2
567,2
568,2
569,2
570,2
571,2
572,2
573,2
574,2
575,2
576,2
577,2
578,2
579,2
580,2
581,2
582,3
583,2
584,2
585,2
586,2
587,2
588,2
589,2
590,2
591,2
592,2
593,2
594,2
595,3
596,1
597,2
598,2
599,2
600,2
601,2
602,2
603,2
604,2
605,2
606,2
607,2
608,2
609,2
610,2
611,0
612,1
613,1
614,2
615,2
616,2
617,2
618,2
619,2
620,2
621,2
622,2
623,2
624,2
625,2
626,2
627,0
628,0
629,1
630,1
631,1
632,2
633,2
634,2
635,2
636,2
637,2
638,2
639,2
640,2
641,2
642,2
643,2
644,2
645,0
646,0
647,1
648,1
649,1
650,2
651,2
652,2
653,2
654,2
655,2
656,2
657,2
658,2
659,2
660,2
661,2
662,0
663,0
664,0
665,1
666,1
667,2
668,2
669,2
670,2
671,2
672,2
673,2
674,2
675,2
676,2
677,2
678,2
679,0
680,0
681,0
682,2
683,2
684,2
685,2
686,2
687,2
688,2
689,2
690,2
691,2
692,2
693,0
694,0
695,0
696,0
697,0
698,2
699,2
700,2
701,2
702,2
703,2
704,2
705,4
706,4
707,2
708,2
709,2
710,2
711,2
712,2
713,2
714,2
715,2
716,4
717,2
718,2
719,2
720,2
721,2
722,2
723,2
724,2
725,2
726,2
727,2
728,3
729,2
730,2
731,2
732,2
733,2
734,2
735,2
736,0
737,1
738,2
739,2
740,2
741,2
742,2
743,2
744,2
745,2
746,2
747,2
748,3
749,0
750,1
751,1
752,2
753,2
754,2
755,2
756,2
757,2
758,2
759,2
760,2
761,2
762,2
763,2
764,2
765,3
766,0
767,1
768,1
769,2
770,2
771,2
772,2
773,2
774,2
775,2
776,2
777,2
778,2
779,2
780,2
781,2
782,2
783,0
784,1
785,1
786,2
787,2
788,2
789,2
790,2
791,2
792,2
793,2
794,2
795,2
796,2
797,2
798,2
799,2
800,0
801,0
802,1
803,1
804,2
805,2
806,2
807,2
808,2
809,2
810,2
811,2
812,2
